country_code,country,gdp
ZWE,Zimbabwe,25715657177.4682
ZMB,Zambia,23308667781.2258
YEM,"Yemen, Rep.",
PSE,West Bank and Gaza,17133500000.0
VIR,Virgin Islands (U.S.),4121000000.0
VNM,Viet Nam,334365270496.667
VEN,"Venezuela, RB",
VUT,Vanuatu,936526267.622513
UZB,Uzbekistan,67293639798.3996
URY,Uruguay,62222313618.8454
USA,United States,21539982000000.0
GBR,United Kingdom,2851407164907.81
ARE,United Arab Emirates,417989721742.682
UKR,Ukraine,153883047509.577
UGA,Uganda,35353061007.9635
TUV,Tuvalu,54123198.5662913
TCA,Turks and Caicos Islands,1371838000.0
TKM,Turkmenistan,45232857142.8571
TUR,Turkiye,761005915750.925
TUN,Tunisia,41905642418.825
TTO,Trinidad and Tobago,23588037786.7403
TON,Tonga,494197853.971842
TGO,Togo,6992700101.37188
TLS,Timor-Leste,2032550389.41316
THA,Thailand,543976691793.886
TZA,Tanzania,61026731925.9213
TJK,Tajikistan,8300813599.3084
SYR,Syrian Arab Republic,22583045060.0821
CHE,Switzerland,721369112726.724
SWE,Sweden,532169294165.94
SUR,Suriname,4016040575.08796
SDN,Sudan,32338079165.2893
VCT,St. Vincent and the Grenadines,910481481.481481
MAF,St. Martin (French part),652205849.387956
LCA,St. Lucia,2095344444.44444
KNA,St. Kitts and Nevis,1107855555.55556
LKA,Sri Lanka,88998706296.5783
ESP,Spain,1403496387686.27
SSD,South Sudan,
ZAF,South Africa,389330032224.269
SOM,"Somalia, Fed. Rep.",8655023960.00102
SLB,Solomon Islands,1619155017.3924
SVN,Slovenia,53909922735.545
SVK,Slovak Republic,105843498304.094
SXM,Sint Maarten (Dutch part),1407880446.92737
SGP,Singapore,376161998830.048
SLE,Sierra Leone,6526183564.19893
SYC,Seychelles,1868690096.73454
SRB,Serbia,53864693664.5568
SEN,Senegal,23403995992.1354
SAU,Saudi Arabia,888890133333.333
STP,Sao Tome and Principe,412976082.620705
SMR,San Marino,1616232125.12587
WSM,Samoa,912950466.064906
RWA,Rwanda,10349300276.7623
RUS,Russian Federation,1693115002708.32
ROU,Romania,251677082534.495
QAT,Qatar,176371267692.308
PRI,Puerto Rico (US),105126400000.0
PRT,Portugal,240115970063.019
POL,Poland,602683770144.88
PHL,Philippines,376823402239.136
PER,Peru,228346006003.648
PRY,Paraguay,37925338329.1494
PNG,Papua New Guinea,24750626029.8777
PAN,Panama,69778991200.0
PLW,Palau,281941600.0
PAK,Pakistan,320909472770.669
OMN,Oman,88060858257.4772
NOR,Norway,408742840909.091
MNP,Northern Mariana Islands,1179000000.0
MKD,North Macedonia,12606338448.547
NGA,Nigeria,474517490844.461
NER,Niger,12889555561.2299
NIC,Nicaragua,12699023614.245
NZL,New Zealand,213006341101.869
NCL,New Caledonia,9475655324.59495
NLD,Netherlands,928903005576.469
NPL,Nepal,34186180699.0255
NRU,Nauru,124871111.377973
NAM,Namibia,12541928303.48
MMR,Myanmar,75065106227.6892
MOZ,Mozambique,15512759046.672
MAR,Morocco,128920266409.458
MNE,Montenegro,5542054181.12616
MNG,Mongolia,14206359017.5143
MCO,Monaco,7383496254.23721
MDA,Moldova,11736797054.6965
FSM,"Micronesia, Fed. Sts.",394000000.0
MEX,Mexico,1304106203902.45
MUS,Mauritius,14436346979.6355
MRT,Mauritania,7894764885.82312
MHL,Marshall Islands,232900000.0
MLT,Malta,16337793530.7788
MLI,Mali,20477421884.5414
MDV,Maldives,5726094799.37709
MYS,Malaysia,365177721021.516
MWI,Malawi,11051865579.8121
MDG,Madagascar,14104664678.5063
MAC,"Macao SAR, China",55082293844.1008
LUX,Luxembourg,69872035113.6469
LTU,Lithuania,55122066225.796
LIE,Liechtenstein,6436467007.11932
LBY,Libya,69254496471.6938
LBR,Liberia,3319596500.0
LSO,Lesotho,2390702295.82777
LBN,Lebanon,51605959131.2741
LVA,Latvia,33099503950.847
LAO,Lao PDR,18740561512.5555
KGZ,Kyrgyz Republic,9371275264.36735
KWT,Kuwait,140856394870.02
XKX,Kosovo,7899737577.47286
KOR,"Korea, Rep.",1651422932447.77
PRK,"Korea, Dem. People's Rep.",
KIR,Kiribati,216985388.322754
KEN,Kenya,100378436207.371
KAZ,Kazakhstan,181667184854.501
JOR,Jordan,44503006338.0282
JPN,Japan,5117993853016.51
JAM,Jamaica,15830766531.1474
ITA,Italy,2019606796583.53
ISR,Israel,400645216358.857
IMN,Isle of Man,7314967866.28289
IRL,Ireland,407124824064.995
IRQ,Iraq,233636097800.338
IRN,"Iran, Islamic Rep.",333519146339.191
IDN,Indonesia,1119099871350.2
IND,India,2835606256558.19
ISL,Iceland,24681343649.2952
HUN,Hungary,164936682033.992
HKG,"Hong Kong SAR, China",363074545072.389
HND,Honduras,24882225741.8119
HTI,Haiti,15016090929.5125
GUY,Guyana,5173760191.84652
GNB,Guinea-Bissau,1588767975.59018
GIN,Guinea,13442861496.4454
GTM,Guatemala,77172317258.6478
GUM,Guam,6355000000.0
GRD,Grenada,1213485185.18519
GRL,Greenland,2997309971.87623
GRC,Greece,207305649887.019
GIB,Gibraltar,
GHA,Ghana,68352629246.1555
DEU,Germany,3957208055215.68
GEO,Georgia,17638337116.9126
GMB,"Gambia, The",1813609692.49994
GAB,Gabon,16874405465.391
PYF,French Polynesia,6022276196.13871
FRA,France,2722793515171.76
FIN,Finland,267014821129.411
FJI,Fiji,5444407198.13478
FRO,Faroe Islands,3266432734.22819
ETH,Ethiopia,95912620248.0592
SWZ,Eswatini,4616996144.90635
EST,Estonia,31873748770.0313
ERI,Eritrea,
GNQ,Equatorial Guinea,11364133549.7478
SLV,El Salvador,26881140000.0
EGY,"Egypt, Arab Rep.",318678815489.749
ECU,Ecuador,107595830000.0
DOM,Dominican Republic,89146130744.723
DMA,Dominica,644259259.259259
DJI,Djibouti,3088851450.30694
DNK,Denmark,345401473012.615
CZE,Czechia,256794209028.77
CYP,Cyprus,26196667099.5303
CUW,Curacao,3026124115.73275
CUB,Cuba,103427600000.0
HRV,Croatia,61467582193.6824
CIV,Cote d'Ivoire,60382894697.3557
CRI,Costa Rica,64417670521.3339
COG,"Congo, Rep.",13976637779.9763
COD,"Congo, Dem. Rep.",51775829877.2088
COM,Comoros,1195019531.03664
COL,Colombia,323031701192.84
CHN,China,14560167101283.4
CHL,Chile,278285058719.466
CHI,Channel Islands,10032440898.6469
TCD,Chad,14905517742.8454
CAF,Central African Republic,2221301351.43918
CYM,Cayman Islands,5941896607.58643
CAN,Canada,1743725183672.52
CMR,Cameroon,39667757527.6578
KHM,Cambodia,36685356407.7206
CPV,Cabo Verde,2252177124.32402
BDI,Burundi,2576518879.82353
BFA,Burkina Faso,16032813503.3707
BGR,Bulgaria,68634004792.1
BRN,Brunei Darussalam,13469235348.2211
VGB,British Virgin Islands,
BRA,Brazil,1873288205059.69
BWA,Botswana,16725908148.5481
BIH,Bosnia and Herzegovina,20482608755.379
BOL,Bolivia,40895322850.9407
BTN,Bhutan,2735683570.46155
BMU,Bermuda,7423465000.0
BEN,Benin,14391686313.4641
BLZ,Belize,2388300000.0
BEL,Belgium,536726344405.489
BLR,Belarus,64410170653.4569
BRB,Barbados,5788288000.0
BGD,Bangladesh,351231654603.692
BHR,Bahrain,40446808510.6383
BHS,"Bahamas, The",13277000000.0
AZE,Azerbaijan,48174235294.1176
AUT,Austria,442983642371.842
AUS,Australia,1392723834562.64
ABW,Aruba,3395798882.68156
ARM,Armenia,13619290539.2116
ARG,Argentina,447754683615.225
ATG,Antigua and Barbuda,1726448148.14815
AGO,Angola,70897962732.0277
AND,Andorra,3155149347.80639
ASM,American Samoa,647000000.0
DZA,Algeria,193459662090.677
ALB,Albania,15585111614.0376
AFG,Afghanistan,18799444490.1128
WLD,World,88492389499432.0
UMC,Upper middle income,23955467100412.2
TSS,Sub-Saharan Africa (IDA & IBRD countries),1843035420525.45
SSA,Sub-Saharan Africa (excluding high income),1745254110180.65
SSF,Sub-Saharan Africa,1843035420525.45
TSA,South Asia (IDA & IBRD),3318484576527.33
SAS,South Asia,3318484576527.33
SST,Small states,230723882097.479
PRE,Pre-demographic dividend,1435723143391.13
PST,Post-demographic dividend,51135209515081.4
PSS,Pacific island small states,10712120596.8045
OSS,Other small states,158082460872.925
OED,OECD members,54181531589081.8
INX,Not classified,
NAC,North America,23291130648672.5
MIC,Middle income,30263574824888.8
TMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",1802751521237.61
MNA,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",1819885021237.61
MEA,"Middle East, North Africa, Afghanistan & Pakistan",3989483215533.71
LMC,Lower middle income,6308107724476.6
LIC,Low income,356930361600.33
LMY,Low & middle income,30622477245854.4
LDC,Least developed countries: UN classification,1168244060712.21
TLA,Latin America & the Caribbean (IDA & IBRD countries),5413386525184.87
LAC,Latin America & Caribbean (excluding high income),4739266496719.49
LCN,Latin America & Caribbean,5659843769808.14
LTE,Late-demographic dividend,23350735596984.1
IDA,IDA total,2508626747858.23
IDX,IDA only,1355420093222.75
IDB,IDA blend,1153206654635.47
IBT,IDA & IBRD total,34090818723703.0
IBD,IBRD only,31581844372017.2
HIC,High income,57469453150147.4
HPC,Heavily indebted poor countries (HIPC),811925263665.522
FCS,Fragile and conflict affected situations,1842814574762.83
EUU,European Union,15809298345792.2
TEC,Europe & Central Asia (IDA & IBRD countries),4175891551192.92
ECA,Europe & Central Asia (excluding high income),1498314108819.45
ECS,Europe & Central Asia,23032792622187.5
EMU,Euro area,13587001830079.4
TEA,East Asia & Pacific (IDA & IBRD countries),17481802738366.4
EAP,East Asia & Pacific (excluding high income),17503362758566.8
EAS,East Asia & Pacific,27322078215458.3
EAR,Early-demographic dividend,11887904124496.5
CEB,Central Europe and the Baltics,1686042070714.23
CSS,Caribbean small states,61929300627.7488
ARB,Arab World,2949355029586.25
AFW,Africa Western and Central,833288902800.025
AFE,Africa Eastern and Southern,1009746517725.42
